run_id,date,row,recommended_mode,level_path,expansion_n,observed_n,exhausted,exit_code,notes
cae-smoke-1788176541-826835,2026-08-31,smoke,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-env-1788177076-831672,2026-08-31,env,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm ENV_PROBE_FAILED"
cae-pty-1788177112-832051,2026-08-31,pty,chat_direct,none,0,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-env-1788181465-848969,2026-08-31,env,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-l1-1788181547-849412,2026-08-31,l1,chat_direct,none,0,2,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-l2-1788181737-850175,2026-08-31,l2,chat_direct,1>2;2>3;,2,2,0,0,"auto-captured via=container stop=LoopGuard: path 'src/fa/cli.py' thrashed across 5 distinct attempts (threshold 5)"
cae-s127-advancing-1788510163-1223192,2026-09-04,s127-advancing,chat_direct,1>2;,1,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-repeat-1788512988-1226653,2026-09-04,s127-repeat,chat_direct,1>2;,1,1,0,1,"auto-captured via=container stop=iteration_cap"
cae-s127-repeat-1788516927-1231558,2026-09-04,s127-repeat,chat_direct,1>2;,1,1,0,1,"auto-captured via=container stop=LoopGuard: identical call fs_read_file (ecdf2cbea4a6) repeated 5 times (threshold 5)"
cae-s127-repeat-1788517880-1233304,2026-09-04,s127-repeat,chat_direct,1>2;,1,0,0,0,"auto-captured via=container stop=stopped_by_llm S127_REPEAT_FAILED"
cae-s127-pingpong-1788518709-1234608,2026-09-04,s127-pingpong,chat_direct,1>2;,1,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-read-small-1788520127-1237229,2026-09-04,s127-read-small,chat_direct,1>2;,1,0,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-read-oversize-1788520294-1237702,2026-09-04,s127-read-oversize,chat_direct,1>2;,1,0,0,0,"auto-captured via=container stop=stopped_by_llm S127_READ_OVERSIZE_FAILED"
cae-s127-read-window-1788523474-1241291,2026-09-04,s127-read-window,chat_direct,1>2;,1,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-artifact-follow-1788524572-1242791,2026-09-04,s127-artifact-follow,chat_direct,1>2;,1,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-artifact-unknown-1788524906-1243497,2026-09-04,s127-artifact-unknown,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm S127_ARTIFACT_UNKNOWN_FAILED"
cae-s127-bash-tail-1788526685-1245712,2026-09-04,s127-bash-tail,chat_direct,none,0,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-bash-stderr-1788527120-1246970,2026-09-04,s127-bash-stderr,chat_direct,none,0,1,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-outline-1788527959-1248489,2026-09-04,s127-outline,chat_direct,1>2;,1,0,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-search-modes-1788528378-1249337,2026-09-04,s127-search-modes,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-search-leniency-1788528519-1249785,2026-09-04,s127-search-leniency,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm"
cae-s127-search-removed-mode-1788528805-1250437,2026-09-04,s127-search-removed-mode,chat_direct,none,0,0,0,0,"auto-captured via=container stop=stopped_by_llm"
